Date,PortfolioValue,Positions
2018-03-12,17259116.0728806,1
2018-03-13,17200588.7128806,1
2018-03-14,17150438.5328806,1
2018-03-15,17112955.7328806,1
2018-03-16,16881962.332880598,1
2018-03-19,16748537.112880599,1
2018-03-20,16815125.5328806,1
2018-03-21,16870649.7528806,1
2018-03-22,16787261.8128806,1
2018-03-23,16691951.6328806,1
2018-03-26,16815848.0928806,1
2018-03-27,16896029.6728806,1
2018-03-28,16852472.8528806,1
2018-04-02,17134158.3528806,1
2018-04-03,17179363.5128806,1
2018-04-04,17018187.4728806,1
2018-04-05,17252748.5128806,1
2018-04-06,17245839.0328806,1
2018-04-09,17295627.9328806,1
2018-04-10,17271399.5928806,1
2018-04-11,17372196.7128806,1
2018-04-12,17477554.9928806,1
2018-04-13,17513682.9928806,1
2018-04-16,17638843.9328806,1
2018-04-17,17674542.9128806,1
2018-04-18,17655982.152880598,1
2018-04-19,17716473.9728806,1
2018-04-20,17782362.4128806,1
2018-04-23,17885214.3128806,1
2018-04-24,17886885.2328806,1
2018-04-25,17916306.9728806,1
2018-04-26,17975421.4128806,1
2018-04-27,17987592.0328806,1
2018-04-30,18155564.652880598,1
2018-05-02,18056777.152880598,1
2018-05-03,17896075.2928806,1
2018-05-04,17798010.3528806,1
2018-05-07,17916781.152880598,1
2018-05-08,17843396.152880598,1
2018-05-09,17843531.632880602,1
2018-05-10,17776898.0528806,1
2018-05-11,17912965.132880602,1
2018-05-14,17929109.832880598,1
2018-05-15,17929945.2928806,1
2018-05-16,17916329.5528806,1
2018-05-17,17852608.7928806,1
2018-05-18,17755582.5328806,1
2018-05-21,17615676.8528806,1
2018-05-22,17643472.832880598,1
2018-05-23,17541095.1128806,1
2018-05-24,17632498.9528806,1
2018-05-25,17810790.632880602,1
2018-05-28,17866360.0128806,1
2018-05-29,17846625.0928806,1
2018-05-30,17830819.0928806,1
2018-05-31,17967270.0328806,1
2018-06-01,17883182.1128806,1
2018-06-04,17797061.9928806,1
2018-06-05,17695677.7928806,1
2018-06-06,17847189.5928806,1
2018-06-07,17991927.3928806,1
2018-06-08,17961286.332880598,1
2018-06-11,17988201.6928806,1
2018-06-12,18096246.9928806,1
2018-06-13,18125533.2528806,1
2018-06-14,18069828.3928806,1
2018-06-15,18113204.5728806,1
2018-06-18,18026610.2728806,1
2018-06-19,17844909.0128806,1
2018-06-20,17907523.3528806,1
2018-06-21,17814719.5528806,1
2018-06-22,17889685.152880598,1
2018-06-25,17835380.2528806,1
2018-06-26,17903955.7128806,1
2018-06-27,17754340.632880602,1
2018-06-28,17656072.4728806,1
2018-06-29,17883407.9128806,1
2018-07-02,17807132.6728806,1
2018-07-03,17893885.0328806,1
2018-07-04,18011639.7328806,1
2018-07-05,18019904.0128806,1
2018-07-06,18056709.4128806,1
2018-07-09,18191963.6128806,1
2018-07-10,18295063.8928806,1
2018-07-11,18306624.8528806,1
2018-07-12,18373484.2328806,1
2018-07-13,18380529.1928806,1
2018-07-16,18256384.3528806,1
2018-07-17,18305450.6928806,1
2018-07-18,18264919.5928806,1
2018-07-19,18169519.0928806,1
2018-07-20,18181396.1728806,1
2018-07-23,18271219.4128806,1
2018-07-24,18378790.5328806,1
2018-07-25,18331643.4928806,1
2018-07-26,18342391.5728806,1
2018-07-27,18429234.2528806,1
2018-07-30,18474258.7728806,1
2018-07-31,18639679.852880597,1
2018-08-01,18648644.112880602,1
2018-08-02,18499006.4528806,1
2018-08-03,18644150.6928806,1
2018-08-06,18626538.2928806,1
2018-08-07,18644647.4528806,1
2018-08-08,18708300.472880602,1
2018-08-09,18688113.9528806,1
2018-08-10,18663569.492880598,1
2018-08-13,18610303.2728806,1
2018-08-14,18703084.492880598,1
2018-08-16,18614887.0128806,1
2018-08-17,18717964.7128806,1
2018-08-20,18865728.2328806,1
2018-08-21,18953022.5128806,1
2018-08-23,19107018.112880602,1
2018-08-24,19098279.652880598,1
2018-08-27,19297073.972880602,1
2018-08-28,19373123.4128806,1
2018-08-29,19288629.0528806,1
2018-08-30,19276458.4328806,1
2018-08-31,19362826.9328806,1
2018-09-03,19154097.4128806,1
2018-09-04,18932452.1328806,1
2018-09-05,18828809.9328806,1
2018-09-06,18954467.6328806,1
2018-09-07,19083602.652880598,1
2018-09-10,18806433.152880598,1
2018-09-11,18644963.5728806,1
2018-09-12,18811536.2328806,1
2018-09-14,19016494.8928806,1
2018-09-17,18863537.972880602,1
2018-09-18,18751405.6928806,1
2018-09-19,18674882.0728806,1
2018-09-21,18541208.472880602,1
2018-09-24,18231410.8728806,1
